房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,小区名称,所在区域,二级区域,单价(元/平米),总价(万元)
3室2厅1厨2卫,高楼层 (共28层),124㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯四户,有,70年,2019/10/27,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,云山诗意花园一期,清城区,横荷,8468,105
2室2厅1厨1卫,低楼层 (共19层),75.02㎡,暂无数据,59.56㎡,暂无数据,东北 东南,未知结构,精装,三梯十二户,有,70年,2019/7/6,商品房,2016/3/9,普通住宅,满两年,共有,无抵押,已上传房本照片,美汇半岛,清城区,清城,8665,65
2室1厅1厨1卫,低楼层 (共19层),57.42㎡,暂无数据,47.33㎡,平房,北,钢混结构,简装,两梯八户,有,70年,2019/8/21,商品房,2014/1/8,普通住宅,满五年,非共有,有抵押 7万元 中国银行 客户偿还,已上传房本照片,丽景轩,清城区,清城,6409,36.8
2室2厅1厨2卫,中楼层 (共8层),90.18㎡,暂无数据,81.98㎡,暂无数据,南,框架结构,精装,一梯四户,无,70年,2019/3/1,商品房,2001/12/28,普通住宅,满五年,非共有,无抵押,已上传房本照片,清远第一城,清城区,新城,6853,61.8
3室1厅1厨1卫,高楼层 (共8层),57㎡,暂无数据,57㎡,暂无数据,北,未知结构,简装,一梯两户,暂无数据,70年,2019/4/17,商品房,2005/6/3,普通住宅,满五年,非共有,无抵押,已上传房本照片,清和大道153号,清新区,清新,4351,24.8
3室2厅1厨1卫,高楼层 (共17层),92.49㎡,暂无数据,暂无数据,塔楼,北,框架结构,毛坯,两梯五户,有,70年,2019/7/16,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,九龙湾花园,清城区,清城,6974,64.5
3室2厅1厨2卫,高楼层 (共32层),118.21㎡,暂无数据,暂无数据,平房,北,钢混结构,毛坯,两梯四户,有,70年,2019/9/21,商品房,2013/12/18,普通住宅,满五年,共有,有抵押,未上传房本照片,山湖世纪花园,清新区,清城,7022,83
3室2厅1厨1卫,高楼层 (共27层),106.88㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,毛坯,两梯五户,有,70年,2019/9/25,商品房,2017/10/26,普通住宅,满两年,非共有,有抵押,已上传房本照片,阳光嘉园,清城区,清城,7953,85
4室2厅1厨2卫,中楼层 (共33层),121.83㎡,暂无数据,97.66㎡,塔楼,南,钢混结构,精装,两梯四户,有,70年,2019/9/29,商品房,2016/1/15,普通住宅,满两年,共有,有抵押 35万元 中国农业银行股份有限公司清远清城支行 客户偿还,已上传房本照片,时代倾城,清城区,清城,8044,98
4室2厅1厨3卫,高楼层 (共18层),179.05㎡,暂无数据,169.32㎡,板塔结合,南,钢混结构,毛坯,两梯三户,有,70年,2019/10/30,商品房,2011/2/28,普通住宅,满五年,非共有,无抵押,已上传房本照片,御景豪庭,清新区,清新,6982,125
3室2厅1厨1卫,中楼层 (共8层),72.08㎡,暂无数据,66.74㎡,暂无数据,北,未知结构,简装,一梯三户,暂无数据,70年,2019/8/15,商品房,2009/10/28,普通住宅,满五年,非共有,无抵押,已上传房本照片,新围右2巷6号,清城区,清城,3302,23.8
3室2厅1厨2卫,中楼层 (共31层),131.81㎡,暂无数据,113.92㎡,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019/3/8,商品房,2014/3/17,普通住宅,满五年,非共有,无抵押,已上传房本照片,金信海怡花园,清城区,新城,8725,115
2室2厅1厨2卫,中楼层 (共13层),86.5㎡,暂无数据,79.74㎡,塔楼,南,钢混结构,其他,一梯六户,有,70年,2019/3/20,商品房,2015/10/16,普通住宅,满两年,共有,暂无数据,已上传房本照片,康乐花园,清城区,新城,5989,51.8
3室2厅1厨2卫,中楼层 (共35层),108㎡,暂无数据,90.15㎡,塔楼,南,钢混结构,精装,两梯六户,有,70年,2019/7/22,商品房,2017/10/11,普通住宅,满两年,共有,无抵押,已上传房本照片,万科华府,清城区,新城,10926,118
3室2厅1厨2卫,高楼层 (共7层),93.6㎡,暂无数据,81.8㎡,暂无数据,南,未知结构,简装,一梯两户,暂无数据,70年,2019/3/8,商品房,2010/7/7,普通住宅,满五年,共有,无抵押,已上传房本照片,尚丽居,清新区,清新,5877,55
3室2厅1厨2卫,高楼层 (共16层),132.84㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,精装,两梯四户,有,70年,2019/8/31,商品房,2014/10/20,普通住宅,满五年,非共有,有抵押 67万元 中国农业银行 金融公司垫资,已上传房本照片,美林湖贝沙湾,清城区,石角,10539,140
3室1厅1厨1卫,低楼层 (共28层),79㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,两梯六户,有,70年,2019/10/29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,北部万科城,清城区,龙塘,7342,58
3室1厅1厨1卫,高楼层 (共9层),82.25㎡,暂无数据,暂无数据,暂无数据,东,未知结构,简装,一梯两户,暂无数据,40年,2019/10/30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,麦围二街,清城区,清城,2651,21.8
3室2厅1厨2卫,高楼层 (共25层),116㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯五户,有,70年,2019/10/17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,天湖郦都,清城区,樵顺生活圈,8794,102
4室2厅1厨1卫,高楼层 (共8层),108.73㎡,暂无数据,98.07㎡,暂无数据,南,未知结构,简装,一梯一户,暂无数据,70年,2019/4/21,商品房,2007/4/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,华中路54号,清城区,城西商贸区,3036,33
4室2厅1厨3卫,中楼层 (共28层),190.16㎡,暂无数据,149.7㎡,平房,北,钢混结构,简装,两梯五户,有,70年,2018/11/1,商品房,2013/1/23,普通住宅,满五年,非共有,无抵押,已上传房本照片,帝景豪园,清城区,新城,8572,163
3室2厅1厨2卫,高楼层 (共32层),122.5㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯五户,有,70年,2018/11/6,商品房,2016/5/9,普通住宅,满两年,共有,有抵押 客户偿还,未上传房本照片,敏捷东城水岸,清城区,清城,7756,95
4室2厅1厨2卫,高楼层 (共32层),139.9㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,70年,2018/11/12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 业主自还,未上传房本照片,瀚景天域,清城区,清城,9221,129
3室2厅1厨2卫,低楼层 (共31层),117㎡,暂无数据,98.15㎡,平房,南 北,钢混结构,毛坯,两梯五户,有,70年,2018/11/12,商品房,2016/4/7,普通住宅,满两年,非共有,无抵押,已上传房本照片,瀚景天域,清城区,清城,8103,94.8
4室2厅1厨3卫,低楼层 (共32层),179.36㎡,暂无数据,暂无数据,塔楼,南,框架结构,精装,两梯三户,有,70年,2018/11/12,商品房,2016/11/15,普通住宅,满两年,共有,无抵押,已上传房本照片,瀚景天域,清城区,清城,9367,168
3室2厅1厨2卫,高楼层 (共18层),138.95㎡,暂无数据,117.62㎡,塔楼,北,钢混结构,毛坯,两梯三户,有,70年,2018/12/3,商品房,2014/6/3,普通住宅,满五年,共有,有抵押,已上传房本照片,山湖世纪花园,清新区,清城,7917,110
3室2厅1厨1卫,低楼层 (共16层),89.3㎡,暂无数据,暂无数据,板塔结合,东,框架结构,精装,一梯八户,有,70年,2019/2/22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,都市广场,清城区,新城,7055,63
4室2厅1厨3卫,低楼层 (共32层),192.91㎡,暂无数据,162.06㎡,塔楼,南 北,钢混结构,毛坯,两梯四户,有,70年,2019/2/22,商品房,2016/4/8,普通住宅,满两年,非共有,无抵押,已上传房本照片,第一海岸,清城区,城西商贸区,9072,175
4室2厅1厨2卫,中楼层 (共27层),129.41㎡,暂无数据,暂无数据,塔楼,南 东南,钢混结构,毛坯,两梯五户,有,70年,2019/7/4,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,云山诗意花园一期,清城区,横荷,8732,113
3室2厅1厨2卫,中楼层 (共17层),107.23㎡,暂无数据,89.18㎡,平房,西南,钢混结构,精装,两梯四户,有,70年,2019/7/6,商品房,2015/7/14,普通住宅,满两年,共有,有抵押,已上传房本照片,美湖花园,清城区,石角,8580,92
3室2厅1厨2卫,中楼层 (共28层),116.87㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯四户,有,70年,2019/7/12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,恒福曦园,清城区,新城,8300,97
3室2厅1厨2卫,低楼层 (共32层),118㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,两梯四户,有,70年,2019/8/3,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,清远保利天汇,清城区,清城,11780,139
3室2厅1厨2卫,低楼层 (共26层),135.83㎡,暂无数据,115.55㎡,暂无数据,东南,未知结构,毛坯,一梯四户,有,70年,2019/8/6,商品房,2017/8/17,普通住宅,满两年,非共有,无抵押,已上传房本照片,城市花园富康苑,清城区,新城,6258,85
2室1厅1厨1卫,低楼层 (共18层),76㎡,暂无数据,69.64㎡,暂无数据,南 北,未知结构,精装,三梯十二户,有,70年,2019/8/22,商品房,2017/10/9,普通住宅,满两年,共有,暂无数据,已上传房本照片,美汇半岛,清城区,清城,9474,72
3室2厅1厨2卫,中楼层 (共26层),143.16㎡,暂无数据,108.99㎡,暂无数据,北,未知结构,其他,两梯三户,有,70年,2019/9/1,商品房,2017/4/11,普通住宅,满两年,共有,无抵押,已上传房本照片,新亚君悦湾,清城区,城西商贸区,9780,140
3室2厅1厨2卫,低楼层 (共32层),119.38㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯四户,有,70年,2019/9/4,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 45万元 建行 客户偿还,未上传房本照片,朝南维港半岛,清城区,新城,9634,115
3室2厅1厨3卫,高楼层 (共25层),138.5㎡,暂无数据,暂无数据,平房,南 北,钢混结构,毛坯,一梯四户,暂无数据,70年,2019/9/6,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,恒利阳光新城,清新区,清新,6773,93.8
3室2厅1厨2卫,中楼层 (共30层),111㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019/9/11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,东方天城,清城区,新城,9010,100
